,GAME_ID,TEAM_NAME,PTS,WINNER,DEFLECTIONS_RATIO,DEFLECTIONS_DIFF,CONTEST_RATE,CONTEST_RATE_2,CONTEST_RATE_3,CHARGES_RATIO,CHARGES_DIFF,SCREEN_AST_RATIO,SCREEN_AST_DIFF,SCREEN_AST_PTS_RATIO,SCREEN_AST_PTS_DIFF,LOOSE_RATIO,LOOSE_DIFFERENCE,OFF_BOXOUT_RATIO,OFF_BOXOUT_DIFF,DEF_BOXOUT_RATIO,DEF_BOXOUT_DIFF,BOXOUT_TM_RBS_RATIO,BOXOUT_TM_RBS_DIFF
10,21800006,Heat,101,0,1.0,1,0.7553191489361702,0.7971014492753623,0.64,1.0,1,0.631578947368421,5,0.6666666666666666,14,0.0,0,0.4,-2,0.46835443037974683,-5,0.45454545454545453,-4
11,21800006,Magic,104,1,0.0,-1,0.6185567010309279,0.625,0.6060606060606061,0.0,-1,0.3684210526315789,-5,0.3333333333333333,-14,0.0,0,0.6,2,0.5316455696202531,5,0.5454545454545454,4
12,21800007,Hawks,107,0,0.5769230769230769,4,0.7070707070707071,0.696969696969697,0.7272727272727273,0.5,0,0.5,0,0.5,0,0.3333333333333333,-5,0.0,-7,0.6379310344827587,16,0.5757575757575758,5
13,21800007,Knicks,126,1,0.4230769230769231,-4,0.6555555555555556,0.6111111111111112,0.7222222222222222,0.5,0,0.5,0,0.5,0,0.6666666666666666,5,1.0,7,0.3620689655172414,-16,0.42424242424242425,-5
14,21800008,Cavaliers,104,0,1.0,1,0.6086956521739131,0.4915254237288136,0.8181818181818182,0.0,-1,0.6190476190476191,5,0.5957446808510638,9,0.0,-1,0.5,0,0.375,-16,0.4411764705882353,-4
15,21800008,Raptors,116,1,0.0,-1,0.7764705882352941,0.7424242424242424,0.8947368421052632,1.0,1,0.38095238095238093,-5,0.40425531914893614,-9,1.0,1,0.5,0,0.625,16,0.5588235294117647,4
16,21800009,Pelicans,131,1,0.8571428571428571,5,0.6630434782608695,0.6590909090909091,0.6666666666666666,0.0,0,0.1111111111111111,-7,0.09090909090909091,-18,0.4,-2,0.7777777777777778,5,0.5952380952380952,8,0.65625,10
17,21800009,Rockets,112,0,0.14285714285714285,-5,0.6122448979591837,0.547945205479452,0.8,0.0,0,0.8888888888888888,7,0.9090909090909091,18,0.6,2,0.2222222222222222,-5,0.40476190476190477,-8,0.34375,-10
18,21800010,Timberwolves,108,0,0.5909090909090909,4,0.5806451612903226,0.5735294117647058,0.6,0.0,-1,0.5,0,0.4583333333333333,-2,0.5833333333333334,2,0.36363636363636365,-3,0.6326530612244898,13,0.4583333333333333,-2
19,21800010,Spurs,112,1,0.4090909090909091,-4,0.6153846153846154,0.5694444444444444,0.7894736842105263,1.0,1,0.5,0,0.5416666666666666,2,0.4166666666666667,-2,0.6363636363636364,3,0.3673469387755102,-13,0.5416666666666666,2
20,21800011,Jazz,123,1,0.52,1,0.7263157894736842,0.6973684210526315,0.8421052631578947,0.0,0,0.4,-4,0.45454545454545453,-4,0.5555555555555556,2,0.8,3,0.4074074074074074,-10,0.5277777777777778,2
21,21800011,Kings,117,0,0.48,-1,0.569620253164557,0.5,0.7037037037037037,0.0,0,0.6,4,0.5454545454545454,4,0.4444444444444444,-2,0.2,-3,0.5925925925925926,10,0.4722222222222222,-2
